,Sr No,Image File,Caption,Length,Caption_0,Caption_1
6032,9671,img/insta9671,happy father  s day dad   you were the best dad in the world   the last conversation i had with you   i told you that i was so lucky to have had the best example of what a dad should be and one day i will have kids and pass on everything you taught me   i  m so lucky to have had you as my dad   i love you ,62,happy male parent  s daytime dad   yous were the best dad inward the world   the survive conversation 1 had amongst y'all   i told you that 1 was thus lucky to have had the best illustration of what a dad should be and one daytime ane will receive kids in addition to pass on everything you taught me   i  k so lucky to have had you as my dad   i love you,happy male parent  sec day dad   you were the best dad in the world   the endure conversation i had with you   i told you that 1 was so lucky to receive had the best example of what a dad should be in addition to ane daytime 1 testament receive kids as well as pass on everything yous taught me   i  m so lucky to have had you every bit my dad   i dear you
2847,4836,img/insta4836,i love she told me she thought of me while creating her show today     it was amazing    👩    🏻    👧    🏼   ,18,i love she told me she persuasion of me piece creating her evidence today     it was amazing    👩    🏻    👧    🏼,one love she told me she view of me piece creating her show today     it was amazing    👩    🏻    👧    🏼
11308,18689,img/insta18689,1  30 by the fire ,4,ane  xxx past the fire,ane  30 by the open fire
2478,4009,img/insta4009,beautiful sunday   🌞   ,3,beautiful sunday   🌞,beautiful sunday   🌞
715,1170,img/insta1170,my hometown  ,2,my hometown,my hometown
2957,5018,img/insta5018,thanks for helping me bring my visions to life ,8,cheers for helping me bring my visions to life,thank you for helping me bring my visions to life
5589,9032,img/insta9032,happy international womens day ,4,happy international womens day,happy international womens daytime
7666,11918,img/insta11918,more cannes ,2,more cannes,to a greater extent cannes
11270,18627,img/insta18627,milano gelato ,2,milano gelato,milano gelato
6914,10848,img/insta10848,yesterday  s glam   bronzy make up sleek center part ,9,yesterday  s glam   bronzy reach upwards sleek meat percentage,yesterday  second glam   bronzy attain upwards sleek center part
11848,19444,img/insta19444,canyon crew   👌     💪   ,4,canyon crew   👌     💪,canyon crew   👌     💪
3585,6016,img/insta6016,oh no ky stole the whip   🙈   ,7,oh no ky stole the whip   🙈,oh no ky stole the whip   🙈
8485,12879,img/insta12879,mason wanted to play tennis too   ,5,mason wanted to play lawn tennis too,stonemason wanted to play tennis too
5183,8538,img/insta8538,who attended the masterclass         i learn a new trick every time   thank you to    for this amazing day and beautiful glam   wearing nude 2 liner and nude 1   2 lipstick mixed ,27,who attended the masterclass         1 learn a new trick every time   give thanks you to    for this amazing day as well as beautiful glam   wearing nude 2 liner as well as nude i   2 lipstick mixed,who attended the masterclass         i instruct a novel pull a fast one on every time   thank you lot to    for this amazing daytime and beautiful glam   wearing nude two liner in addition to nude one   ii lipstick mixed
2089,3120,img/insta3120,my one time only limited edition collection dropped today on kyliecosmetics  com some things are still available   😳    😍    🤗   link in bio ,22,my 1 time just express edition collection dropped today on kyliecosmetics  com about things are still available   😳    😍    🤗   link in bio,my ane fourth dimension but limited edition collection dropped today on kyliecosmetics  com roughly things are still available   😳    😍    🤗   link inwards bio
6110,9773,img/insta9773,natures beauty ,2,natures beauty,natures beauty
12151,19848,img/insta19848,best part ,2,best share,best part
7750,12015,img/insta12015,flashback friday dad with kourtney    i ,5,flashback friday dad with kourtney    ane,flashback friday dad alongside kourtney    ane
6387,10166,img/insta10166,happy birthday beautiful ,3,happy birthday beautiful,happy birthday beautiful
11533,19020,img/insta19020,birthday dinner   🙈   ,3,birthday dinner   🙈,birthday dinner   🙈
1834,2653,img/insta2653,happy monday   🌎   ,3,happy monday   🌎,happy monday   🌎
7729,11988,img/insta11988,in my dressing room at dancing with the stars   💃    💃    💃   ,12,inward my dressing room at dancing with the stars   💃    💃    💃,in my dressing room at dancing with the stars   💃    💃    💃
8437,12828,img/insta12828,mom gone wild ,3,mom gone wild,mom gone wild
9952,16533,img/insta16533,       coming soon ,2,coming presently,coming before long
9677,15981,img/insta15981,easy     my brother ,3,like shooting fish in a barrel     my blood brother,easy     my blood brother
4484,7419,img/insta7419,a shot you didn  t get to see from the shoot     💛   ,10,a shot y'all didn  t make to take in from the shoot     💛,a shot you didn  t receive to see from the shoot     💛
6954,10897,img/insta10897,addicted to my tanner   ,3,addicted to my tanner,addicted to my tanner
5943,9551,img/insta9551,my son  ,2,my boy,my boy
8113,12457,img/insta12457,bff time ,2,bff time,bff time
2485,4026,img/insta4026,hair   🌈   ,2,hair   🌈,pilus   🌈
4012,6652,img/insta6652,sissy time ,2,sissy time,sissy fourth dimension
3928,6529,img/insta6529,we love you   😘   ,4,we honey you   😘,we honey you   😘
12437,20277,img/insta20277,watching loony toons in english class   😱   ,7,watching loony toons inwards english class   😱,watching loony toons inwards english course   😱
8313,12690,img/insta12690,i miss my silly mase man       ,6,ane missy my giddy mase man,i girl my giddy mase man
1886,2732,img/insta2732,rise    shine ,2,ascent    shine,rise    shine
3003,5110,img/insta5110,me and grandma   my dads mom     💋   we looked identical when she was my age   ,14,me and grandma   my dads mom     💋   nosotros looked identical when she was my age,me and grandma   my dads mom     💋   we looked identical when she was my age
23,30,img/insta30,grateful for ze pasta   🍝   ,5,grateful for ze pasta   🍝,grateful for ze pasta   🍝
12184,19901,img/insta19901,maybach  s on bach  s on bach  s ,7,maybach  s on bach  s on bach  second,maybach  sec on bach  s on bach  sec
4693,7883,img/insta7883,my babies ,2,my babies,my babies
11718,19291,img/insta19291,lunch time with   🍴   ,4,luncheon fourth dimension with   🍴,lunch fourth dimension amongst   🍴
7646,11895,img/insta11895,getting sleepy ,2,getting sleepy,getting sleepy
1309,1957,img/insta1957,snapchat me   loganpaul   👱          currently at snapchat headquarters   ,5,snapchat me   loganpaul   👱          currently at snapchat headquarters,snapchat me   loganpaul   👱          currently at snapchat headquarters
9621,15875,img/insta15875,bible study with judah smith ,4,bible study amongst judah smith,bible study with judah smith
12174,19889,img/insta19889,hehe   👊   ,2,hehe   👊,hehe   👊
789,1352,img/insta1352,vancouver     we had fun   can  t thank y  all enough for an amazing 1st show     ,15,vancouver     we had fun   toilet  t give thanks y  all enough for an amazing 1st show,vancouver     we had fun   lav  t thank y  all enough for an amazing 1st show
3772,6305,img/insta6305,baby put on heart shaped sunglasses cause   we gonna take a ride ,11,babe put on heart shaped sunglasses have   we gonna take a ride,babe put on heart shaped sunglasses receive   nosotros gonna take a ride
11399,18825,img/insta18825,sunday not so funday   😷   ,5,sunday not so funday   😷,sunday non therefore funday   😷
5653,9122,img/insta9122,night cap ,2,night cap,nighttime cap
11253,18601,img/insta18601,just flipping through   😉   ,4,precisely flipping through   😉,precisely flipping through   😉
4655,7757,img/insta7757,      you already know   ,3,you already know,you lot already know
3219,5457,img/insta5457,you don  t know me ,5,you don  t know me,you don  t know me
7302,11398,img/insta11398,love you ,2,love you,love you
2514,4098,img/insta4098,reds my favorite   get them now ,6,reds my favorite   induce them now,reds my favorite   get them now
11273,18630,img/insta18630,my baby karlito   ,2,my infant karlito,my babe karlito
5328,8714,img/insta8714,cousin love   💕   ,3,cousin love   💕,cousin dear   💕
8846,13754,img/insta13754,rich you never answer when we need you the most ,10,rich you never answer when nosotros need you the virtually,rich y'all never reply when we need you lot the nearly
9228,14957,img/insta14957,brother time    best time ,4,brother time    best fourth dimension,blood brother fourth dimension    best time
10584,17485,img/insta17485,swansea   we loved playing for you     you sang so loud   my guitarist took this   look at you   😍    😍    😍   thank you ,22,swansea   we loved playing for yous     you sang so loud   my guitarist took this   seem at you   😍    😍    😍   thank you,swansea   we loved playing for yous     yous sang therefore loud   my guitarist took this   look at you   😍    😍    😍   give thanks you
